flow_duration,Header_Length,Protocol Type,Duration,Rate,Srate,Drate,fin_flag_number,syn_flag_number,rst_flag_number,psh_flag_number,ack_flag_number,ece_flag_number,cwr_flag_number,ack_count,syn_count,fin_count,urg_count,rst_count,HTTP,HTTPS,DNS,Telnet,SMTP,SSH,IRC,TCP,UDP,DHCP,ARP,ICMP,IPv,LLC,Tot sum,Min,Max,AVG,Std,Tot size,IAT,Number,Magnitue,Radius,Covariance,Variance,Weight,label
0.1729864954948425,51.95,2.35,66.54,10.659454289356354,10.659454289356354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.1,0.0,0.03,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,8281.56,231.28,1479.44,805.7233981498808,560.6275052692962,769.69,83249236.67115334,9.5,39.71996061491022,793.0485152345335,332241.4102148978,0.95,141.55,DDoS-ICMP_Fragmentation
0.0,0.83,1.14,62.72,1.2834660005612082,1.2834660005612082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,9464.03,327.89,1479.44,889.1673064335046,553.5858246509295,906.13,83253881.98445247,9.5,42.0035716832832,782.7347386099812,322947.3762524493,0.95,141.55,DDoS-ICMP_Fragmentation
0.0,2.3,1.15,65.27,16.921133625713416,16.921133625713416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,9483.2,364.84,1456.4,885.4393661106697,537.9613371402072,887.58,83284221.84405553,9.5,41.87420251716139,760.8016985384215,307937.3434162214,0.94,141.55,DDoS-ICMP_Fragmentation
0.0,0.0,1.0,64.0,1.1568504010413658,1.1568504010413658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,9561.0,362.0,1456.4,876.5622407314049,544.1388529349124,938.0,83254231.33713436,9.5,41.680603885690445,769.4720946711853,311678.81155949883,0.95,141.55,DDoS-ICMP_Fragmentation
0.005026831626892,18.98,1.64,66.92,25.890958186480773,25.890958186480773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,9858.81,387.36,1514.0,981.2759928271332,546.5702936425572,909.41,83250062.94220889,9.5,44.22335512614016,773.0080559734754,314587.9296752716,0.95,141.55,DDoS-ICMP_Fragmentation
0.0136869668960571,49.4,1.38,61.65,72.1316001136593,72.1316001136593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.1,0.0,0.09,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,9398.53,306.12,1484.92,911.0936173760448,553.3862232882664,868.89,83250063.36543389,9.5,42.321974077446605,782.6426942085204,326472.35102114925,0.94,141.55,DDoS-ICMP_Fragmentation
0.0375855803489685,10.84,1.19,67.18,1.452775259191856,1.452775259191856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,9244.59,318.53,1456.4,850.9696041871356,548.2043064180269,907.91,83249006.28596567,9.5,41.06561015392067,775.216370128144,316547.7584385295,0.95,141.55,DDoS-ICMP_Fragmentation
0.0021940493583679,11.0,1.16,63.85,26.311763752641173,26.311763752641173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,9696.33,370.61,1479.44,918.2861714125656,544.6606489104164,925.37,83254054.31690973,9.5,42.71185340694511,770.2584976472515,312322.7689233555,0.95,141.55,DDoS-ICMP_Fragmentation
0.0,0.0,0.99,63.36,19.57464403938353,19.57464403938353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,9388.42,304.62,1444.88,851.8462098239739,544.4676294075703,923.46,83245523.31954199,9.5,41.035792030017575,769.9997609543964,314030.4550636678,0.95,141.55,DDoS-ICMP_Fragmentation
0.0019020795822143,5.86,1.08,62.61,27.402538867210914,27.402538867210914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,9700.2,327.68,1502.48,953.7697319916068,551.1532939808641,903.48,83249753.07973999,9.5,43.57264281067484,779.5359683148944,320070.6084601146,0.95,141.55,DDoS-ICMP_Fragmentation
